Region;Brott;År;Period;Antal;/100 000 inv
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Feb;21;64;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Mar;11;34;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Apr;10;31;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Maj;24;73;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Jun;28;86;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Jul;14;43;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Aug;13;40;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Sep;48;147;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Okt;26;79;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Nov;20;61;
Danderyd kommun;4 kap. Brott mot frihet och frid;2022;Dec;13;40;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;42;128;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;30;92;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;28;86;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;73;223;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;44;134;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;40;122;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;29;89;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Jan;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Feb;0;0;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Mar;6;18;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Apr;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Maj;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Jun;2;6;
