Region;Brott;År;Period;Antal;/100 000 inv
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Jan;45;5;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Feb;49;5;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Mar;69;7;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Apr;51;5;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Maj;55;6;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Jun;48;5;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Jul;32;3;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Aug;42;4;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Sep;43;4;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Okt;45;5;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Nov;48;5;
Stockholm kommun;5 kap. Ärekränkningsbrott;2022;Dec;57;6;
